DATE,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1
2018-02-14,106.5390625,106.6640625,106.703125,106.5078125
2018-02-15,106.5078125,106.5390625,106.546875,106.453125
2018-02-16,106.5390625,106.5078125,106.5546875,106.4921875
2018-02-20,106.5,106.53125,106.546875,106.4375
2018-02-21,106.484375,106.4921875,106.5234375,106.453125
2018-02-22,106.5234375,106.4765625,106.53125,106.46875
2018-02-23,106.5390625,106.5234375,106.5859375,106.5078125
2018-02-26,106.5625,106.53125,106.59375,106.515625
2018-02-27,106.484375,106.5546875,106.5859375,106.4609375
2018-02-28,106.5078125,106.484375,106.515625,106.4453125
2018-03-01,106.5859375,106.515625,106.6171875,106.484375
2018-03-02,106.546875,106.59375,106.6328125,106.53125
2018-03-05,106.5390625,106.5546875,106.609375,106.5234375
2018-03-06,106.515625,106.53125,106.5703125,106.515625
2018-03-07,106.53125,106.546875,106.59375,106.515625
2018-03-08,106.546875,106.546875,106.5703125,106.53125
2018-03-09,106.5390625,106.5390625,106.546875,106.5
2018-03-12,106.5390625,106.5234375,106.546875,106.515625
2018-03-13,106.5625,106.53125,106.59375,106.53125
2018-03-14,106.5625,106.5703125,106.59375,106.5234375
2018-03-15,106.515625,106.578125,106.578125,106.5078125
2018-03-16,106.5078125,106.5078125,106.5390625,106.4921875
2018-03-19,106.4921875,106.5,106.5390625,106.4765625
2018-03-20,106.421875,106.4765625,106.484375,106.421875
2018-03-21,106.5078125,106.4375,106.5078125,106.3984375
2018-03-22,106.53125,106.4921875,106.5625,106.4921875
2018-03-23,106.5703125,106.5625,106.5703125,106.5625
2018-03-26,106.5390625,106.5546875,106.5546875,106.53125
2018-03-27,106.578125,106.5546875,106.5859375,106.5390625
2018-03-28,106.59375,106.625,106.625,106.578125
2018-03-29,106.5625,106.5546875,106.5625,106.5546875
2018-04-02,106.3671875,106.28125,106.3984375,106.2734375
2018-04-03,106.3046875,106.3671875,106.375,106.2734375
2018-04-04,106.265625,106.3125,106.359375,106.2578125
2018-04-05,106.2421875,106.265625,106.265625,106.234375
2018-04-06,106.3359375,106.25,106.34375,106.2421875
2018-04-09,106.3125,106.34375,106.34375,106.2734375
2018-04-10,106.2578125,106.296875,106.3125,106.234375
2018-04-11,106.2734375,106.2578125,106.3203125,106.2421875
2018-04-12,106.1875,106.2578125,106.28125,106.1796875
2018-04-13,106.1640625,106.1953125,106.2265625,106.1328125
2018-04-16,106.1484375,106.1484375,106.15625,106.1015625
